APFS Number,Description,Contract Status,Component
F2019045276,"C3CEN is the Systems Management and Engineering Facility (SMEF) for CCIS product lines including the PAWSS and the Integrated Networked Video System (INVS).  C3CEN is responsible for VTS Operational Requirements Document (ORD) that requires any maintained VTS system have an operational availability of 99.75% on a monthly basis, for all critical capabilities. The system must be operable 7 days a week, 24 hours a day. This 24/7 support requires maintenance support services for PAWSS that covers 10 critical ports with 132 remote sensor sites. This maintenance support contract ensures that there are technicians available to support PAWSS enabling Coast Guard watch standers to monitor vessel traffic entering key ports and waterways and maintain domain awareness.",REC,USCG/C4IT
F2019045282,"USCGC THUNDER BAY (WTGB 108) FY20 Dockside AvailabilityThe US Coast Guard Cutter (CGC) THUNDER BAY (WTGB 108) is a 140' inland icebreaker tug / bay class cutter currently home-ported in Rockland, Maine (ME).  Work list will include, but is not limited to: hydraulic / electric deck machinery overhaul, tank cleaning and inspection, ventilation cleaning, exhaust piping cleaning, and painting various surfaces (both interior and exterior).",NEW,USCG/SFLC
F2019045283,"USCGC ALDER (WLB 216) FY20 Dockside Maintenance AvailabilityThe US Coast Guard Cutter (CGC) ALDER is a 225' oceangoing (JUNIPER-class) buoy tender class cutter currently home-ported in Duluth, Minnesota (MN). Work list will include, but is not limited to: hydraulic / electric deck machinery overhaul, tank cleaning and inspection, ventilation cleaning, exhaust piping cleaning, and painting various surfaces (both interior and exterior).",NEW,USCG/SFLC
F2019045284,"USCGC BUCKTHORN (WLI 642) FY20 Dry-dock Maintenance AvailabilityThe US Coast Guard Cutter (CGC) BUCKTHORN (WLI 642) is a 100' inland class buoy tender cutter currently home-ported in Sault Ste. Marie, Michigan (MI).  Work list will include, but is not limited to: underwater propulsion equipment removal and inspection / overhaul, tank cleaning and inspection, superstructure preservation, freeboard preservation, underwater body inspection, underwater body preservation, anchor chain inspection, and transducer renewals.",NEW,USCG/SFLC
F2019045286,"Overhaul the following components used on the Coast Guard H60 aircraft;Spindle Assembly (blue), NSN 1615-01-238-2444, P/N	70102-28100-046Spindle Assembly (blue)*, NSN 1615-01-HS1-4256, P/N 70102-28100-054Spindle Assembly (red), NSN 1615-01-238-2442, P/N 70102-28100-045Spindle Assembly (red)*, NSN 1615-01-HS1-4257, P/N 70102-28100-053Spindle Assembly (yellow), NSN 1615-01-238-2446, P/N 70102-28100-047Spindle Assembly (yellow)*, NSN 1615-01-HS1-4258, P/N 70102-28100-055Spindle Assembly (black), NSN 1615-01-238-2448, P/N 70102-28100-048Spindle Assembly (black)*, NSN 1615-01-HS1-4259, P/N 70102-28100-056Modulation Valve, NSN 1660-01-161-8379, P/N 70309-23900-103Bifilar Assembly, NSN 1615-01-221-2610, P/N 70107-28400-043Hub Sub Assembly*, NSN 1615-01-HS1-4524, P/N 70070-10046-057Retention Plate Assembly, NSN 1615-01-185-4870, P/N 70102-11101-043Swashplate Assembly, NSN 1615-01-221-2615, P/N 70104-08000-048Hydraulic Accumulator, NSN 1650-01-158-9683, P/N 70103-28041-042Flange Coupling, NSN 1615-01-527-0355, P/N 70351-08255-102Damper, NSN 1615-01-347-0735, P/N 70106-28000-048",NEW,USCG/ALC
F2019045294,"Provide Install ready parts to include packaging & preservation for multiple shipments & long term storage, programming electronic components and the overhaul of repairable components to support the MTU 8V396 TE94 Main Diesel Engines installed onboard the Coast Guard 87' WPB cutters. ",REC,USCG/SFLC
F2019045295,"The HSIN Program Management Office has a requirement to renew software maintenance agreements for various pieces of Brand Name equipment and software applications present in the HSIN environment.  The estimated cost is $662,943.22.  The current order expires 31 Mar 2020.",REC,DHS HQ/MGMT
F2019045307,"USCGC BAYBERRY (WLI 65400) FY20 Dry-dock Maintenance AvailabilityUS Coast Guard Cutter (CGC) BAYBERRY (WLI 65400) is a 65' Inland Buoy Tender class cutter, currently home-ported in Oak Island, North Carolina (NC). Work list will include, but is not limited to: underwater propulsion equipment removal and inspection / overhaul, tank cleaning and inspection, superstructure preservation, freeboard preservation, underwater body inspection, underwater body preservation, anchor chain inspection, and transducer renewals.",NEW,USCG/SFLC
F2019045310,"USCGC HAWSER (WYTL 65610) FY20 Dry-dock Maintenance AvailabilityThe US Coast Guard Cutter (CGC) HAWSER (WYTL 65610) is a 65' river class buoy tender cutter currently home-ported in Bayonne, New Jersey. Work list will include, but is not limited to: underwater propulsion equipment removal and inspection / overhaul, tank cleaning and inspection, superstructure preservation, freeboard preservation, underwater body inspection, underwater body preservation, anchor chain inspection, and transducer renewals.",NEW,USCG/SFLC
F2019045311,"USCGC KATHERINE WALKER (WLM 552) FY20 Dry-dock Maintenance AvailabilityUS Coast Guard Cutter (CGC) KATHERINE WALKER (WLM 552) is a 175' oceangoing buoy tender (Keeper class) cutter, currently home-ported in Bayonne, New Jersey. Work list will include, but is not limited to: underwater propulsion equipment removal and inspection / overhaul, tank cleaning and inspection, superstructure preservation, freeboard preservation, underwater body inspection, underwater body preservation, anchor chain inspection, and transducer renewals.",NEW,USCG/SFLC
F2019045312,"USCGC OSAGE (WLR 65505) and BARGE (CGB 99003) FY20 Drydock Maintenance AvailabilityUS Coast Guard Cutter (CGC) OSAGE (WLR 65505) is a 65' river tender class cutter with a 99' barge (CGB 99003); both are currently home-ported in Sewickley, Pennsylvania (PA). Worklist will include Work list will include, but is not limited to: hydraulic / electric deck machinery overhaul, tank cleaning and inspection, ventilation cleaning, exhaust piping cleaning, and painting various surfaces (both interior and exterior).",NEW,USCG/SFLC
F2019045313,"USCGC HENRY BLAKE (WLM 563) FY20 Dockside Maintenance AvailabilityUS Coast Guard Cutter (CGC) HENRY BLAKE (WLM 563) is a 175' oceangoing buoy tender (Keeper class) cutter, currently home-ported in Everett, Washington (WA).  Work list will include, but is not limited to: hydraulic / electric deck machinery overhaul, tank cleaning and inspection, ventilation cleaning, exhaust piping cleaning, and painting various surfaces (both interior and exterior).",NEW,USCG/SFLC
F2019045314,"USCGC MOBILE BAY (WTGB 103) and BARGE (CGB 12001) FY20 Dockside Maintenance AvailabilityUS Coast Guard Cutter (CGC) MOBILE BAY (WTGB 103) is a 140' inland icebreaker/tug buoy tender class cutter with a 120' BARGE (CGB 12001); both are currently home-ported in Sturgeon Bay, Wisconsin (WI). Worklist will include Work list will include, but is not limited to: hydraulic / electric deck machinery overhaul, tank cleaning and inspection, ventilation cleaning, exhaust piping cleaning, and painting various surfaces (both interior and exterior).",NEW,USCG/SFLC
F2019045315,"USCGC MACKINAW (WLBB 30) FY20 Dockside Maintenance AvailabilityUS Coast Guard Cutter (CGC) MACKINAW (WLBB 30) is a 240' heavy icebreaker class cutter currently home-ported in Cheboygan, Michigan (MI). Work list will include but is not limited to Work list will include, but is not limited to: hydraulic / electric deck machinery overhaul, tank cleaning and inspection, ventilation cleaning, exhaust piping cleaning, and painting various surfaces (both interior and exterior).",NEW,USCG/SFLC
F2019045327,"The Department of Homeland Security (DHS) Chief Information Officer (CIO) is pursuing a Blanket Purchase Agreement (BPA) for the Contractor to provide a Content Delivery Network (CDN) service for identified DHS websites via a globally deployed network of servers. The CDN will enable DHS to maximize its performance, provide DHS a global reach, and to accommodate unpredictable load increases and Internet-wide projected growth.The Internet is important to DHS as a means of cost-effective, ubiquitous communications channel.  Moreover, DHS' use of the Internet continues to grow significantly - the number of United States citizens, businesses and government agencies obtaining valuable information and conducting transactions on-line is increasing.  As DHS moves its communications onto the Internet, there are many challenges regarding the delivery of its content and applications. These challenges must be effectively addressed to continue to grow the significant traffic generated by DHS' web servers. These challenges include: Performance - growing Internet congestion and increasing centralized processing can lead to poor end-user experience; Cost - unpredictable spikes in demand result in costly over-provisioning; Availability - centralized infrastructure is a single point of failure; Reliability - content integrity and security as it traverses the Internet; Security - protection against distributed denial of service (DDoS) attacks and security compromises (e.g. viruses, SQL injections, Cross Site Scripting (CSS), intrusion, content tampering); Ease of management - greater functionality often leads to greater complexity; Business intelligence - increasing demands for real-time, more granular reporting",REC,DHS HQ
